ID,NOM_TL,ADRESSE,CP,COMINIT,INSEECOM,NOMCOM,WEB,TWITTER,FACEBOOK,TYPO,LAT,LONG,GEOCOD,PRECISION,CONTACT,MAIL,METRO,NOMMETRO,INSEEREG,NOMREG,INSEEMETRO,INSEEDEP,NOMCOMMETRO,POPCOM,COMCLASS,INSEE_ZE,NOM_ZE,CLASS_ZE,POP_ZE
1255,Coh@bit,15 rue de naudet Batiment 10A,33170,Gradignan,33192,Gradignan,http://www.cohabit.fr/,https://twitter.com/FabLab_IUTBx,https://www.facebook.com/Fablab-Cohabit-1713924472234837/,Tiers lieux à dominante fablab,44.79053,-0.61255,15 Rue Naudet 33170 Gradignan,0.59,,,1,Bordeaux Métropole,75,Nouvelle Aquitaine,33192,33,Gradignan,24841,20000-50000,7204,BORDEAUX,500 000-6 000 000,1271647
1256,ChapLab,Lycée Chaptal 6 allée Chaptal,22000,Saint-Brieuc,22278,Saint-Brieuc,http://chaplab.net,https://twitter.com/chaplab22,https://www.facebook.com/chaplab/,Tiers lieux à dominante fablab,48.512954,-2.736808,6 Allée Chaptal 22000 Saint-Brieuc,0.65,,,0,,53,Bretagne,22278,22,Saint-Brieuc,45207,20000-50000,5305,SAINT-BRIEUC,200 000-500 000,307639
1257,CreaLAB,121 rue de Bordeaux,16000,Angoulême,16015,Angoulême,http://crealab-angouleme.fr/,https://twitter.com/CREALAB2,https://www.facebook.com/CreaLab-Angouleme-710781572339719/,Tiers lieux à dominante fablab,45.653155,0.150537,121 Rue de Bordeaux 16000 Angoulême,0.94,,,0,,75,Nouvelle Aquitaine,16015,16,Angoulême,41955,20000-50000,5403,ANGOULÊME,200 000-500 000,278039
1258,Le Village Graphic,1856 Chemin Saint Bernard,0,Vallauris,06155,Vallauris,http://www.levillagegraphic.com/,,https://www.facebook.com/Le-Village-Graphic-474468392744210/,Tiers lieux à dominante fablab,43.59351,7.057055,1856 Chemin de Saint-Bernard 06220 Vallauris,0.86,,,0,,93,Provence-Alpes-Côte d'Azur,06155,06,Vallauris,26302,20000-50000,9305,CANNES - ANTIBES,200 000-500 000,412606
1259,EasyCeram,7 rue soyouz,87000,Limoges,87085,Limoges,http://www.easyceram.fr/,,https://www.facebook.com/easyceram/,Tiers lieux à dominante fablab,45.859746,1.296448,7 Rue Soyouz 87280 Limoges,0.74,,,0,,75,Nouvelle Aquitaine,87085,87,Limoges,134577,100000 et plus,7404,LIMOGES,200 000-500 000,376199
1260,Vitamines,Espace numérique des entreprises Rue des Longues Haies,14400,Nonant,14465,Nonant,https://www.vitamines-coworking.fr/reservation/fablab/,https://twitter.com/vitaminesbayeux,https://www.facebook.com/vitaminesbayeux/,Tiers lieux à dominante fablab,49.254306,-0.645637,Zone des Longues Haies 14400 Nonant,0.41,,,0,,28,Normandie,14465,14,Nonant,489,0-5000,2502,CAEN,200 000-500 000,477651
1261,Montaulab,35 avenue du Danemark.,82000,Montauban,82121,Montauban,http://www.montaulab.fr/,https://twitter.com/montaulab/,https://www.facebook.com/montaulab,Tiers lieux à dominante fablab,43.988599,1.328582,35 Avenue du Danemark 82000 Montauban,0.94,,,0,,76,Occitanie,82121,82,Montauban,58826,50000-100000,7313,MONTAUBAN,200 000-500 000,223099
1262,Innofab,Avenue Georges Pompidou,81100,Castres,81065,Castres,http://www.innofab.fr/,https://twitter.com/InnoFabCastres,https://www.facebook.com/innofabcastres,Tiers lieux à dominante fablab,43.621098,2.266214,Avenue Georges Pompidou 81100 Castres,0.93,,,0,,76,Occitanie,81065,81,Castres,41382,20000-50000,7312,CASTRES - MAZAMET,100 000-200 000,132837
1263,La station,Place du 8 mai 1945,62500,ST OMER,62765,Saint-Omer,pop.eu.com/lastation,https://twitter.com/LaStationStOmer,https://www.facebook.com/lastation.stomer/?fref=ts,Tiers lieux à dominante fablab,50.753317,2.266405,Place du 8 Mai 1945 62500 Saint-Omer,0.8,,,0,,32,Hauts-de-France,62765,62,Saint-Omer,14164,5000-20000,3124,SAINT-OMER,100 000-200 000,118183
1264,Millaulab,10 boulevard Sadi Carnot,12100,Millau,12145,Millau,https://www.millaulab.fr,https://twitter.com/millaulab,https://www.facebook.com/millaulab/,Tiers lieux à dominante fablab,44.098465,3.079176,10 Boulevard Sadi Carnot 12100 Millau,0.93,,,0,,76,Occitanie,12145,12,Millau,22064,20000-50000,7303,MILLAU,50 000-100 000,60247
1265,La FABrique,8 rue Georges Clémenceau,56400,Auray,56007,Auray,https://www.lafabriqueduloch.org/,https://twitter.com/fabriqueduloch,https://www.facebook.com/lafabriqueduloch/?fref=ts,Tiers lieux à dominante fablab,47.668462,-2.986106,8 Rue Georges Clemenceau 56400 Auray,0.93,,,0,,53,Bretagne,56007,56,Auray,13397,5000-20000,5318,VANNES,200 000-500 000,342217
1266,Diplab,4 Rue Henri Koch,94000,Créteil,94028,Créteil,http://diplab.fr/,https://twitter.com/diplab_bb,https://www.facebook.com/diplabbleuets/,Tiers lieux à dominante fablab,48.802095,2.455335,4 Rue Henri Koch 94000 Créteil,0.93,,,1,Métropole du Grand Paris,11,Île-de-France,94028,94,Créteil,91042,50000-100000,1117,CRÉTEIL,500 000-6 000 000,565894
1267,L'écloserie numérique,.Telecentre de Boitron.La Clairière,61500,Boitron.,61051,Boitron,http://ecloserie-numerique.com/,https://twitter.com/boitronTHD,https://www.facebook.com/telecentreBoitron/,Tiers lieux à dominante fablab,48.56166,0.26675,LA CLAIRIERE 61500 Boitron,0.46,,,0,,28,Normandie,61051,61,Boitron,338,0-5000,51,ALENÇON,100 000-200 000,121762
1268,La Fabrique,Place Georges-Pompidou,75004,Paris,75116,Paris,http://lafabriqueducentrepompidou.tumblr.com/,https://twitter.com/centrepompidou,https://www.facebook.com/centrepompidou.fr,Tiers lieux à dominante fablab,48.851689,2.279998,Voie Georges Pompidou 75016 Paris,0.61,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
1269,Fablab Lacassagne,86 avenue Lacassagne,69003,Lyon,69383,Lyon,https://www.bm-lyon.fr/nos-blogs/fablab/,,,Tiers lieux à dominante fablab,45.749008,4.877385,86 Avenue Lacassagne 69003 Lyon,0.95,,,1,Métropole de LYON,84,Auvergne et Rhône-Alpes,69123,69,Lyon,506615,100000 et plus,8214,LYON,500 000-6 000 000,1799726
1270,LabFab Hub Epitech,19 Boulevard Saint-Conwoïon,35000,Rennes,35238,Rennes,www.labfab.fr/hub-epitech,,,Tiers lieux à dominante fablab,48.103713,-1.688495,19 Boulevard Saint-Conwoion 35000 Rennes,0.94,,,1,Rennes Métropole,53,Bretagne,35238,35,Rennes,213454,100000 et plus,5312,RENNES,500 000-6 000 000,801211
